aop_id,aopTitle,status,endorsed,adverseOutcomes
3,Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits,WPHA/WNT Endorsed,True,Parkinsonian motor deficits
10,Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,WPHA/WNT Endorsed,True,"Occurrence, Epileptic seizure"
12,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging,WPHA/WNT Endorsed,True,"Impairment, Learning and memory | N/A, Neurodegeneration"
13,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,WPHA/WNT Endorsed,True,"Impairment, Learning and memory"
17,Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,WPHA/WNT Endorsed,True,"Impairment, Learning and memory"
42,Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,WPHA/WNT Endorsed,True,"Cognitive function, decreased "
48,"Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.",WPHA/WNT Endorsed,True,"Impairment, Learning and memory"
54,Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ,WPHA/WNT Endorsed,True,"Impairment, Learning and memory"
65,XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,,False,"Cognitive function, decreased "
134,Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,,False,"Cognitive function, decreased "
152,Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ,Under Development,False,"Cognitive function, decreased "
214,Network of SSRIs (selective serotonin reuptake inhibitors),,False,"Increased, seizure"
215,Molecular events lead to epilepsy,,False,"Increase, seizure"
223,Serotonin transporter activation to seizure,,False,"Increased, seizure"
